award_date,project_number,award_amount,award_type
2023-11-30,1F31EY035133-01A1,48974,1
2023-12-12,1F31EY035165-01A1,42574,1
2023-11-30,1F31EY035168-01A1,41373,1
2023-12-11,1F31EY035867-01,43203,1
2023-12-19,1F31EY035880-01,48974,1
2023-12-21,1F31EY035916-01,35892,1
2023-11-30,1F31EY035937-01,48974,1
2023-12-21,1F31EY035945-01,45965,1
2024-11-15,1F31EY037121-01,35909,1
2024-11-15,1F31EY037171-01,48974,1
2024-12-19,1F31EY037177-01,37570,1
2024-12-12,1F31EY037180-01,48139,1
2024-12-13,1F31EY037190-01,48974,1
2024-11-15,1F31EY037192-01,40367,1
2024-12-12,1F31EY037197-01,51474,1
2021-12-17,1F31GM142259-01A1,32036,1
2022-01-27,1F31GM142284-01A1,43902,1
2023-01-01,1F31GM143822-01A1,30825,1
2022-01-01,1F31GM145107-01,40267,1
2021-12-21,1F31GM145163-01,38240,1
2022-01-17,1F31GM145173-01,39226,1
2021-12-22,1F31GM145178-01,46752,1
2022-02-01,1F31GM145186-01,33752,1
2022-01-01,1F31GM145187-01,37952,1
2022-01-01,1F31GM145188-01,40352,1
2022-12-09,1F31GM146429-01A1,47694,1
2022-12-12,1F31GM147942-01A1,40290,1
2023-01-01,1F31GM149006-01,40054,1
2023-01-05,1F31GM149062-01,36124,1
2022-12-29,1F31GM149143-01,41068,1
2024-01-10,1F31GM149144-01A1,48974,1
2024-01-05,1F31GM149158-01A1,48974,1
2023-01-31,1F31GM149161-01,42348,1
2022-12-09,1F31GM149166-01,47694,1
2023-01-10,1F31GM149174-01,47694,1
2023-01-01,1F31GM149175-01,39068,1
2023-01-06,1F31GM149178-01,43615,1
2023-01-01,1F31GM149184-01,40384,1
2024-01-15,1F31GM150195-01A1,42957,1
2024-01-22,1F31GM150237-01A1,41927,1
2024-01-10,1F31GM150250-01A1,48974,1
2024-01-05,1F31GM150269-01A1,48974,1
2024-01-05,1F31GM151820-01A1,32974,1
2024-02-01,1F31GM153113-01,39593,1
2024-01-15,1F31GM153135-01,43133,1
2024-01-01,1F31GM153136-01,48974,1
2023-12-18,1F31GM153141-01,48974,1
2024-01-01,1F31GM153146-01,36479,1
2024-01-01,1F31GM153150-01,41282,1
2023-12-18,1F31GM153153-01,48974,1
2024-01-25,1F31GM153158-01,48974,1
2024-11-07,1F31GM154433-01A1,40127,1
2024-11-13,1F31GM155958-01A1,48974,1
2024-12-01,1F31GM155995-01A1,35974,1
2024-11-22,1F31GM156032-01A1,48974,1
2024-11-25,1F31GM156081-01A1,48974,1
2024-12-13,1F31GM157766-01,39418,1
2024-11-25,1F31GM157877-01,33780,1
2025-01-17,1F31GM157882-01,48974,1
2024-12-01,1F31GM157895-01,48974,1
2024-12-15,1F31GM157953-01,48974,1
2024-11-18,1F31GM157963-01,36274,1
2021-12-06,1F31HD104377-01A1,35336,1
2021-12-30,1F31HD104415-01A1,44462,1
2021-12-20,1F31HD107918-01,40352,1
2022-01-25,1F31HD107923-01,38739,1
2022-02-03,1F31HD107960-01,46752,1
2021-12-17,1F31HD107965-01,40391,1
2022-02-15,1F31HD107968-01,46752,1
2021-12-15,1F31HD107973-01,40457,1
2021-12-09,1F31HD108006-01,37472,1
2022-02-14,1F31HD108872-01,39531,1
2023-01-24,1F31HD108875-01A1,43079,1
2022-02-11,1F31HD108901-01,30752,1
2022-02-15,1F31HD108916-01,46752,1
2023-02-16,1F31HD108959-01A1,42801,1
2023-01-19,1F31HD108987-01A1,39687,1
2022-12-09,1F31HD111236-01,46752,1
2022-12-15,1F31HD111273-01,39737,1
2023-02-10,1F31HD111277-01,42670,1
2022-12-14,1F31HD111292-01,40954,1
2023-01-12,1F31HD111297-01,50194,1
2022-12-15,1F31HD111318-01,43047,1
